Cores,Frequency,L2cache,FSB,Mult.,Voltage,TDP,Socket,Partnumber(s),GPUfrequency,I/O bus,Memory,Burst,GPUmodel,Connectivity,SDP,Model Number,Front Side Bus,Multiplier,Mult,L2 Cache,Turbo,L3cache,Turbo Boostall-core/2.0(/max. 3.0),Atom (ULV),Atom (ULV).1,Unnamed: 2,Feature size,Unnamed: 4,x86,x86.1,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Base / Boost / TVB Clocks (GHz),GPU EU,GPU Max freq,Price,Model number,Clock speed,Cache,Cache.1,FSB speed,Threadsper core,TDP (W),Cache.2,Price (USD),Clock speed.1,QuickPath,Freq. (GHz),FSB (MHz),Voltage (V),Freq.,Power,Power.1,Unnamed: 17,Unnamed: 18,Unnamed: 19,Freq. (MHz),L1cache,Model numberClock speed,sSpec number,Front-side bus,Clock multiplier,Voltage range,Part number(s),Core stepping,64-bit,FrqGHz,FSBMT/s,VT-x,P-core (performance),P-core (performance).1,P-core (performance).2,P-core (performance).3,E-core (efficiency),E-core (efficiency).1,E-core (efficiency).2,E-core (efficiency).3
1.0,0.9,0.512,,,,1.0,49.0,AY80609003042AC,,39.0,1 × DDR-4001 × DDR2-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.6,0.512,,,0.7625–1.1 V,2.0,49.0,AY80609005802AA,400 MHz,39.0,1 × DDR2-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.9,0.512,,,,1.0,49.0,AY80609003996AC,,39.0,1 × DDR-4001 × DDR2-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.9,0.512,,,0.7625–1.1 V,2.0,49.0,AY80609003987AB,400 MHz,39.0,1 × DDR2-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.2,0.512,,,0.3–1.2 V,3.0,26.0,DG8064001195908,400 MHz,94.0,2 × LPDDR2-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.3,0.512,,,0.3–1.2 V,3.0,26.0,DG8064001211503 DG8064001194903 DG8064001195902 DG8064001195703,400 MHz,94.0,2 × LPDDR2-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.3,0.512,,,0.3–1.2 V,4.0,26.0,DG8064001195906 DG8064001195906 DG8064001195906 DG8064001195906,400 MHz,94.0,2 × LPDDR2-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.3,0.512,,,,3.0,26.0,DG8064001196004,400 MHz,94.0,2 × LPDDR2-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.6,1.0,,,,66.03544956493715,78.0,FG8065201850100,400-457 MHz,94.0,2 × LPDDR3-1066,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.13,1.0,,,,66.03544956493715,78.0,FG8065201850200,457-533 MHz,94.0,2 × LPDDR3-1066,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.33,2.0,,,,66.03544956493715,78.0,GA8066301896101,457 MHz,94.0,2 × LPDDR3-1600,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.83,2.0,,,,66.03544956493715,78.0,GA8066301600200,457–533 MHz,94.0,2 × LPDDR3-1600,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.0,2.0,,,,66.03544956493715,78.0,,457–640 MHz,94.0,2 × LPDDR3-1600,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.33,2.0,,,,66.03544956493715,78.0,GA8066301600100,457–533 MHz,94.0,2 × LPDDR3-1600,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.5,2.0,,,,66.03544956493715,78.0,GA8066301828200,457-640 MHz,94.0,2 × LPDDR3-1600,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.0,0.512,,,,66.03544956493715,78.0,,480 MHz,94.0,1×32 LPDDR2 800,,70.0,"2G/3G, GPS, Bluetooth, WiFi",2 W,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,1.0,,,,66.03544956493715,78.0,PMB8016.P10 PMB8016.P20 PMB8016.P10,600 MHz,94.0,"1×32 LPDDR2/3 1066, 2×16 DDR3/DDR3L 1333",1.1 GHz,71.0,WiFi only,2 W,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
